ticker,entry_time,exit_time,entry_price,exit_price,highest_price,pnl
SNGS,2022-06-29 07:00:00+00:00,2022-06-30 08:00:00+00:00,26.1,23.995,26.48,-1065.2721956322096
NVTK,2022-06-29 15:00:00+00:00,2022-07-04 12:00:00+00:00,1019.0,1054.4,1090.6,611.2075725869848
NVTK,2022-07-29 07:00:00+00:00,2022-08-02 07:00:00+00:00,1040.0,1012.0,1055.2,-542.3562198306986
SNGS,2022-07-29 13:00:00+00:00,2022-08-02 14:00:00+00:00,27.83,26.795,28.26,-599.3452441104272
NVTK,2022-08-16 13:00:00+00:00,2022-08-18 11:00:00+00:00,1101.0,1085.0,1124.0,-289.4288000134193
ALRS,2022-08-23 15:00:00+00:00,2022-08-25 11:00:00+00:00,69.74,70.48,72.57,168.5717329541893
NVTK,2022-08-18 14:00:00+00:00,2022-08-30 10:00:00+00:00,1095.4,1144.4,1173.8,888.3177318834345
ALRS,2022-08-25 14:00:00+00:00,2022-08-30 12:00:00+00:00,70.82,71.36,72.9,121.39295448795554
ROSN,2022-08-28 14:00:00+00:00,2022-08-30 12:00:00+00:00,365.9,362.8,368.6,-107.90583144228363
MOEX,2022-09-02 07:00:00+00:00,2022-09-05 15:00:00+00:00,95.65,95.41,97.45,-32.23353225996127
ALRS,2022-08-31 15:00:00+00:00,2022-09-06 11:00:00+00:00,73.1,72.3,75.3,-219.67177957315897
ROSN,2022-09-02 07:00:00+00:00,2022-09-06 11:00:00+00:00,388.1,368.4,388.1,-815.1062602677648
VTBR,2022-09-05 15:00:00+00:00,2022-09-06 11:00:00+00:00,103.35,98.125,103.35,-649.1416118200635
CHMF,2022-09-06 11:00:00+00:00,2022-09-08 07:00:00+00:00,787.6,777.6,799.2,-250.49870774140695
MOEX,2022-09-07 06:00:00+00:00,2022-09-08 12:00:00+00:00,96.0,93.78,96.0,-364.9916471016936
VTBR,2022-09-07 07:00:00+00:00,2022-09-08 14:00:00+00:00,100.65,98.2,101.65,-302.9710496838392
ALRS,2022-09-12 13:00:00+00:00,2022-09-14 07:00:00+00:00,76.46,75.27,77.46,-304.20150757992735
ALRS,2022-09-14 14:00:00+00:00,2022-09-16 07:00:00+00:00,78.44,77.56,79.22,-218.59480064478214
PLZL,2022-10-21 14:00:00+00:00,2022-10-25 06:00:00+00:00,620.4,619.0,643.0,-35.09663101331724
PLZL,2022-10-25 07:00:00+00:00,2022-10-26 09:00:00+00:00,626.8,612.0,637.0,-308.31012908819747
ROSN,2022-10-26 09:00:00+00:00,2022-10-28 07:00:00+00:00,331.1,339.7,346.9,337.55035263317
CHMF,2022-10-21 13:00:00+00:00,2022-10-29 09:00:00+00:00,719.0,810.4,830.4,2471.362779520845
SBER,2022-10-22 08:00:00+00:00,2022-10-31 19:00:00+00:00,119.0,126.18,128.44,750.7176957654572
NVTK,2022-10-29 09:00:00+00:00,2022-11-02 07:00:00+00:00,1108.8,1101.4,1118.8,-98.9939325293285
SNGS,2022-10-28 14:00:00+00:00,2022-11-02 19:00:00+00:00,21.7,21.855,22.4,93.30856176359815
CHMF,2022-11-03 14:00:00+00:00,2022-11-09 08:00:00+00:00,785.0,801.6,826.6,424.687938023333
NVTK,2022-11-03 16:00:00+00:00,2022-11-09 08:00:00+00:00,1106.0,1122.8,1140.8,244.0482157193698
ROSN,2022-11-07 20:00:00+00:00,2022-11-09 08:00:00+00:00,356.7,348.8,356.8,-284.6659030566489
ROSN,2022-11-10 20:00:00+00:00,2022-11-14 13:00:00+00:00,358.25,350.75,360.25,-270.1123591062397
PLZL,2022-11-09 12:00:00+00:00,2022-11-15 06:00:00+00:00,662.8,668.0,682.6,158.1649547937482
